timestamp,latitude,longitude,soil_moisture,air_humidity,temperature,soil_ph,nitrogen,phosphorus,potassium,label
2023-08-17T08:00:00Z,48.8566,2.3522,0.35,0.65,25.5,6.8,120,45,80,bacterial_blight
2023-08-17T08:15:00Z,48.8566,2.3522,0.32,0.68,26.0,6.7,115,42,78,bacterial_blight
2023-08-17T08:30:00Z,48.8566,2.3522,0.30,0.70,26.5,6.6,110,40,75,bacterial_blight
2023-08-17T08:45:00Z,48.8566,2.3522,0.28,0.72,27.0,6.5,105,38,72,bacterial_blight
2023-08-17T09:00:00Z,48.8566,2.3522,0.25,0.75,27.5,6.4,100,35,70,bacterial_blight
2023-08-17T09:15:00Z,48.8567,2.3523,0.40,0.60,24.0,7.2,150,60,90,healthy
2023-08-17T09:30:00Z,48.8567,2.3523,0.42,0.58,23.5,7.3,155,62,92,healthy
2023-08-17T09:45:00Z,48.8567,2.3523,0.45,0.55,23.0,7.4,160,65,95,healthy
2023-08-17T10:00:00Z,48.8567,2.3523,0.48,0.52,22.5,7.5,165,68,98,healthy
2023-08-17T10:15:00Z,48.8567,2.3523,0.50,0.50,22.0,7.6,170,70,100,healthy
2023-08-17T10:30:00Z,48.8568,2.3524,0.20,0.80,28.0,5.8,80,30,50,fungal_rust
2023-08-17T10:45:00Z,48.8568,2.3524,0.18,0.82,28.5,5.7,75,28,48,fungal_rust
2023-08-17T11:00:00Z,48.8568,2.3524,0.15,0.85,29.0,5.6,70,25,45,fungal_rust
2023-08-17T11:15:00Z,48.8568,2.3524,0.12,0.88,29.5,5.5,65,22,42,fungal_rust
2023-08-17T11:30:00Z,48.8568,2.3524,0.10,0.90,30.0,5.4,60,20,40,fungal_rust
2023-08-17T11:45:00Z,48.8569,2.3525,0.38,0.62,26.0,6.5,130,50,85,viral_mosaic
2023-08-17T12:00:00Z,48.8569,2.3525,0.36,0.64,26.2,6.4,125,48,82,viral_mosaic
2023-08-17T12:15:00Z,48.8569,2.3525,0.34,0.66,26.4,6.3,120,45,80,viral_mosaic
2023-08-17T12:30:00Z,48.8569,2.3525,0.32,0.68,26.6,6.2,115,42,78,viral_mosaic
2023-08-17T12:45:00Z,48.8569,2.3525,0.30,0.70,26.8,6.1,110,40,75,viral_mosaic

